Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE
ADA,Close_t+1,0.024668741097589493,0.014846295538285714,"(1, 1, 1)",0.24971775062295598,0.1663067474313969
ADA,Close_t+7,0.07191948725451636,0.04409802712533333,"(1, 1, 1)",0.2565891645233526,0.17245978400046102
ADA,Close_t+30,0.1877611498312289,0.11284923287314289,"(1, 1, 1)",0.2949229959363676,0.20155503388834978
ADA,Close_t+90,0.3071390647672892,0.22623957447161908,"(1, 1, 1)",0.33430017568453274,0.24631783669689752
AVAX,Close_t+1,1.9015897777843636,1.3426360920377853,"(2, 1, 2)",10.2380113799449,8.759490794332711
AVAX,Close_t+7,4.9632429071836555,3.6853720599830613,"(2, 1, 2)",10.23198298545265,8.732188271591955
AVAX,Close_t+30,9.870560091977968,7.373301560849511,"(2, 1, 2)",9.47815730196552,7.940127826113472
AVAX,Close_t+90,15.74800468312351,12.843039715374267,"(2, 1, 2)",10.62703164450844,9.296272862950376
BCH,Close_t+1,17.898023196944767,10.75862110583525,"(2, 1, 2)",134.23230794149,101.51491028349177
BCH,Close_t+7,47.387256609967324,31.07084387802338,"(2, 1, 2)",135.44695291736738,103.36060308791721
BCH,Close_t+30,89.0714887562729,59.47240543404824,"(2, 1, 2)",140.33137945352388,109.85352128807294
BCH,Close_t+90,148.5687614904787,112.77803464803692,"(2, 1, 2)",141.41211088841118,111.22904949994135
BNB,Close_t+1,14.280475041311506,9.017661084853344,"(2, 1, 2)",268.6855255847183,212.3629069075962
BNB,Close_t+7,36.988384834404734,25.343747919220267,"(2, 1, 2)",273.23459192296116,217.47693775314593
BNB,Close_t+30,67.11280185794489,43.64258449572732,"(2, 1, 2)",289.8161913835585,237.03009405568514
BNB,Close_t+90,135.5917971791325,102.4390516335288,"(2, 1, 2)",318.08286206909247,278.8655828248765
BTC,Close_t+1,1281.2695982755693,805.0632813055612,"(1, 2, 1)",20360.46297533017,17901.663537832777
BTC,Close_t+7,3346.8044154728886,2230.769198350619,"(1, 2, 1)",20548.18262930682,18095.613358156388
BTC,Close_t+30,7423.045510945021,5110.333490793411,"(1, 2, 1)",21491.091571126777,18904.808725069903
BTC,Close_t+90,14679.008336945886,10659.768658335322,"(1, 2, 1)",23158.226464042687,20655.281204825587
DOGE,Close_t+1,0.007811618193220476,0.004196732693266833,"(2, 1, 2)",0.09497199541818602,0.05650927893239054
DOGE,Close_t+7,0.024202926035489573,0.011974891374189526,"(2, 1, 2)",0.09757600821230053,0.05843669379461001
DOGE,Close_t+30,0.05722153896662016,0.028726877780049877,"(2, 1, 2)",0.11008838399582939,0.0660127547436125
DOGE,Close_t+90,0.10176670341633416,0.05991215808840399,"(2, 1, 2)",0.12047857469037948,0.07708196076518356
DOT,Close_t+1,0.3273606726603686,0.21788753138471337,"(1, 1, 1)",2.3303606872473392,2.007521383680454
DOT,Close_t+7,0.8972219034223736,0.6452078402974522,"(1, 1, 1)",2.333718732219229,2.0216207145318505
DOT,Close_t+30,1.9170084467902588,1.3585242037576433,"(1, 1, 1)",2.273338059548085,1.9509493107661544
DOT,Close_t+90,2.836009214236472,2.4405309563111466,"(1, 1, 1)",2.578869601041681,2.311847326253625
ETH,Close_t+1,81.77287491077068,53.681819694759106,"(2, 1, 2)",1194.2512439979662,953.18296089542
ETH,Close_t+7,219.20572949317827,152.48499957633842,"(2, 1, 2)",1206.4852462356116,968.1128818782446
ETH,Close_t+30,435.8910930262786,312.11823506702876,"(2, 1, 2)",1253.2513240289593,1027.0786995027415
ETH,Close_t+90,760.8566872227588,599.8968469287086,"(2, 1, 2)",1286.5808393302107,1080.8700161067156
LEO,Close_t+1,0.13337056896786448,0.07304653470814816,"(0, 1, 1)",2.166980706645696,1.704113192079701
LEO,Close_t+7,0.32568667733787143,0.18328048352765433,"(0, 1, 1)",2.2530126035304296,1.778484322353756
LEO,Close_t+30,0.9052339055922123,0.5149319908474075,"(0, 1, 1)",2.585623771191662,2.0687522324611916
LEO,Close_t+90,1.834382244206168,1.3232464472982721,"(0, 1, 1)",3.3848220394401047,2.8989222476805963
LINK,Close_t+1,0.7310155585097332,0.4724664383855787,"(1, 1, 1)",8.030744898754692,6.67981698787522
LINK,Close_t+7,1.8672523965199068,1.3052526417937382,"(1, 1, 1)",8.168208902876602,6.830886652654329
LINK,Close_t+30,3.9335854546658466,2.8412283857303606,"(1, 1, 1)",8.81154611373505,7.499476659785162
LINK,Close_t+90,6.76397786380026,5.589452333844782,"(1, 1, 1)",9.537903105222417,8.590493843896597
LTC,Close_t+1,3.1939629626889587,2.0416334972635615,"(1, 1, 1)",28.24935539844604,24.15506029039038
LTC,Close_t+7,7.808647033374444,5.427480996135261,"(1, 1, 1)",28.531056094760956,24.45226426426101
LTC,Close_t+30,13.939998043221651,9.961892081318513,"(1, 1, 1)",30.179993208487467,25.967532028653245
LTC,Close_t+90,22.623214268261332,17.793064721092808,"(1, 1, 1)",33.92406864449752,29.57046709841069
MATIC,Close_t+1,0.03168450971895832,0.02239388737170732,"(2, 1, 2)",0.2764617111986746,0.2299949651952061
MATIC,Close_t+7,0.08036262466373077,0.0600271238097561,"(2, 1, 2)",0.27970062056230516,0.23448845442690142
MATIC,Close_t+30,0.1604698068360777,0.11898544068536586,"(2, 1, 2)",0.2916998241584863,0.25162709718578125
MATIC,Close_t+90,0.23905084865198462,0.20159621748,"(2, 1, 2)",0.3559101583117788,0.3214808428341066
NEAR,Close_t+1,0.3578393368608855,0.25677755407623765,"(2, 1, 2)",2.0270757178063747,1.6287826916890535
NEAR,Close_t+7,0.9154063076673119,0.7202790160122112,"(2, 1, 2)",2.0320142768925833,1.644024887624151
NEAR,Close_t+30,1.5236831644521536,1.2117557484412542,"(2, 1, 2)",1.9011729816592964,1.5282301055621512
NEAR,Close_t+90,2.2501848991877353,1.824427646110561,"(2, 1, 2)",1.4572161649304376,1.1588911256438739
SHIB,Close_t+1,1.4384600924621555e-06,8.47319458144654e-07,"(1, 0, 0)",1.1552196542965375e-05,9.749212521820222e-06
SHIB,Close_t+7,4.158482754184179e-06,2.4983739466037734e-06,"(1, 0, 0)",1.1672995134401047e-05,9.969161571025402e-06
SHIB,Close_t+30,6.704503809975374e-06,4.852200708113208e-06,"(1, 0, 0)",1.1397101949593442e-05,1.0046990424127931e-05
SHIB,Close_t+90,9.788666346093663e-06,8.468105955974842e-06,"(1, 0, 0)",9.300174365011208e-06,7.906362125826045e-06
SOL,Close_t+1,6.898959061198197,5.168736442481763,"(0, 1, 1)",74.87043536332018,66.11523033066358
SOL,Close_t+7,17.990150129667537,14.003401968046765,"(0, 1, 1)",75.98976455107643,67.75986044956116
SOL,Close_t+30,39.42897909164441,32.95933573035294,"(0, 1, 1)",82.83435773995687,75.38853523302498
SOL,Close_t+90,54.212914628867495,45.005187228940294,"(0, 1, 1)",85.22864029335936,77.63181480079761
TON,Close_t+1,0.24397272002245501,0.17528618448333333,"(1, 1, 1)",1.2248239997915187,0.9627192579358431
TON,Close_t+7,0.5755533250072878,0.4581453957508333,"(1, 1, 1)",1.2239144668604134,0.9601061662520664
TON,Close_t+30,0.9227609320358566,0.77733695064125,"(1, 1, 1)",1.164018158376068,0.8635268808486916
TON,Close_t+90,1.6732547447071844,1.3561023443525,"(1, 1, 1)",1.0483666401690752,0.7798364927021638
TRX,Close_t+1,0.01063512604371464,0.0025967940977272724,"(1, 0, 2)",0.0922530565475249,0.07737448600819014
TRX,Close_t+7,0.0192030676140208,0.007593643182954545,"(1, 0, 2)",0.09482181860864919,0.07935931186425074
TRX,Close_t+30,0.030881558160438267,0.017396908012310607,"(1, 0, 2)",0.10331119334493448,0.08678478332957307
TRX,Close_t+90,0.04795428217057067,0.03447736639261364,"(1, 0, 2)",0.12023847700305373,0.10415319119360678
UNI,Close_t+1,0.6203739099547642,0.40047560567532475,"(1, 1, 1)",3.4388199358400025,2.347659035153678
UNI,Close_t+7,1.5231198869001654,1.075243142759091,"(1, 1, 1)",3.501281326800892,2.3929400081727787
UNI,Close_t+30,3.0498620231892857,2.3152478930532467,"(1, 1, 1)",3.5954056887995978,2.453928508349434
UNI,Close_t+90,4.767356944334552,3.662751276541234,"(1, 1, 1)",3.5280331834507517,2.4447071061463514
XRP,Close_t+1,0.040198992602611006,0.01725868457008444,"(2, 0, 1)",0.538451740424813,0.3882887258520453
XRP,Close_t+7,0.11813768593806698,0.05017674643811821,"(2, 0, 1)",0.5637173459025476,0.4004600996127208
XRP,Close_t+30,0.3293711545457861,0.1383988595950543,"(2, 0, 1)",0.7103128010801607,0.4633492322543892
XRP,Close_t+90,0.6499654069149529,0.2905234785301568,"(2, 0, 1)",0.9511631409138215,0.615944690132692
